model,feature,layer,language,accuracy,macro_f1,majority,majority_acc,n,n_classes
xlsr300m,voicing,18,en_us,0.9271317829457364,0.924782087641336,0.3701171875,0.5875968992248062,645,2
xlsr300m,voicing,24,en_us,0.8914728682170543,0.8875142008650071,0.3701171875,0.5875968992248062,645,2
xlsr300m,voicing,0,de_de,0.8013698630136986,0.7932112332112332,0.37249283667621774,0.593607305936073,876,2
xlsr300m,voicing,6,de_de,0.817351598173516,0.8128405084926824,0.37249283667621774,0.593607305936073,876,2
xlsr300m,voicing,12,de_de,0.83675799086758,0.8304474056428199,0.37249283667621774,0.593607305936073,876,2
xlsr300m,voicing,18,de_de,0.8915525114155252,0.8882315414833966,0.37249283667621774,0.593607305936073,876,2
xlsr300m,voicing,24,de_de,0.8744292237442922,0.8702068393291056,0.37249283667621774,0.593607305936073,876,2
xlsr300m,voicing,0,es_419,0.8318356867779204,0.8138732793825019,0.40306513409961686,0.675224646983312,779,2
xlsr300m,voicing,6,es_419,0.8562259306803595,0.8401559454191033,0.40306513409961686,0.675224646983312,779,2
xlsr300m,voicing,12,es_419,0.8690629011553274,0.854948593626778,0.40306513409961686,0.675224646983312,779,2
xlsr300m,voicing,18,es_419,0.8921694480102695,0.8807566149136234,0.40306513409961686,0.675224646983312,779,2
xlsr300m,voicing,24,es_419,0.8857509627727856,0.8733229186650953,0.40306513409961686,0.675224646983312,779,2
xlsr300m,nasal,0,en_us,0.8477765108323831,0.6971455953935307,0.47120892372625867,0.8911060433295325,1754,2
xlsr300m,nasal,6,en_us,0.887115165336374,0.7322261287934864,0.47120892372625867,0.8911060433295325,1754,2
xlsr300m,nasal,12,en_us,0.9007981755986317,0.7675462247854421,0.47120892372625867,0.8911060433295325,1754,2
xlsr300m,nasal,18,en_us,0.9122006841505131,0.7891227840076944,0.47120892372625867,0.8911060433295325,1754,2
xlsr300m,nasal,24,en_us,0.9019384264538198,0.772967538409671,0.47120892372625867,0.8911060433295325,1754,2
xlsr300m,nasal,0,de_de,0.8561271434546215,0.7534484081687466,0.46257585974376264,0.8607277289836889,2391,2
xlsr300m,nasal,6,de_de,0.8728565453785028,0.7722828606874772,0.46257585974376264,0.8607277289836889,2391,2
xlsr300m,nasal,12,de_de,0.890422417398578,0.803351958814666,0.46257585974376264,0.8607277289836889,2391,2
xlsr300m,nasal,18,de_de,0.9008782936010038,0.8124064584666488,0.46257585974376264,0.8607277289836889,2391,2
xlsr300m,nasal,24,de_de,0.8891677122542869,0.800100326059694,0.46257585974376264,0.8607277289836889,2391,2
xlsr300m,nasal,0,es_419,0.83873757025508,0.6819467572171719,0.47395951785308166,0.9009943795936014,2313,2
xlsr300m,nasal,6,es_419,0.8733246865542585,0.7149840208966887,0.47395951785308166,0.9009943795936014,2313,2
xlsr300m,nasal,12,es_419,0.890185905750108,0.7532789639011608,0.47395951785308166,0.9009943795936014,2313,2
xlsr300m,nasal,18,es_419,0.8897535667963683,0.7526654463797106,0.47395951785308166,0.9009943795936014,2313,2
xlsr300m,nasal,24,es_419,0.8845654993514915,0.7447025144428023,0.47395951785308166,0.9009943795936014,2313,2
xlsr300m,manner,0,en_us,0.6159003831417624,0.5520903703632684,0.09717186366932559,0.32088122605363983,1044,5
xlsr300m,manner,6,en_us,0.7605363984674329,0.714983027299425,0.09717186366932559,0.32088122605363983,1044,5
xlsr300m,manner,12,en_us,0.7883141762452107,0.7651433154305727,0.09717186366932559,0.32088122605363983,1044,5
xlsr300m,manner,18,en_us,0.8457854406130269,0.8183923220508256,0.09717186366932559,0.32088122605363983,1044,5
xlsr300m,manner,24,en_us,0.7911877394636015,0.7560971805567979,0.09717186366932559,0.32088122605363983,1044,5
xlsr300m,manner,0,de_de,0.6729691876750701,0.5834378280618238,0.0972972972972973,0.32142857142857145,1428,5
xlsr300m,manner,6,de_de,0.6946778711484594,0.61080757530499,0.0972972972972973,0.32142857142857145,1428,5
xlsr300m,manner,12,de_de,0.7542016806722689,0.7085548755044986,0.0972972972972973,0.32142857142857145,1428,5
xlsr300m,manner,18,de_de,0.7619047619047619,0.6982698499313645,0.0972972972972973,0.32142857142857145,1428,5
xlsr300m,manner,24,de_de,0.7507002801120448,0.6638744446235982,0.0972972972972973,0.32142857142857145,1428,5
xlsr300m,manner,0,es_419,0.663093415007657,0.566561219543215,0.10080183276059565,0.33690658499234305,1306,5
xlsr300m,manner,6,es_419,0.7281776416539051,0.7028090927843313,0.10080183276059565,0.33690658499234305,1306,5
xlsr300m,manner,12,es_419,0.7641653905053599,0.7435042058764669,0.10080183276059565,0.33690658499234305,1306,5
