model,feature,layer,train_lang,test_lang,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,nasal,4,de_de,es_419,0.771705292286406,0.004091942708380652,0.634695957845469,0.00524959679997902,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
base,nasal,4,es_419,en_us,0.8690394706821811,0.003669784584591802,0.7219248298810315,0.006409861414907316,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
base,nasal,4,es_419,de_de,0.8555053547523427,0.0035182946158076904,0.7150649014721867,0.005617801690978095,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
base,manner,4,en_us,de_de,0.5855401429171921,0.005812115408362096,0.46113943758604137,0.006826215290589237,0.08885013623978202,0.0013079247988190337,0.2855541544066134,0.005404910523021583,7137,5,1
base,manner,4,en_us,es_419,0.516316837750881,0.005773918934962251,0.5034933448354272,0.016008906529525673,0.10087076076993584,0.0013520723123553098,0.33721464685153973,0.006049891341806822,6527,5,1
base,manner,4,de_de,en_us,0.521455938697318,0.006991060608817883,0.42159317798801066,0.007301814516384093,0.08658060642449715,0.001483798615682467,0.27624521072796937,0.006037145614507709,5220,5,1
base,manner,4,de_de,es_419,0.4997701853837904,0.007213948930967525,0.4282416888838929,0.012002236517868399,0.08141549725442343,0.0013411511977125601,0.25555385322506513,0.005279043942422431,6527,5,1
base,manner,4,es_419,en_us,0.47413793103448276,0.00750037921757245,0.4339300993774689,0.009048744798048751,0.09712793733681462,0.001587246901078722,0.32068965517241377,0.0069298461966577525,5220,5,1
base,manner,4,es_419,de_de,0.5074961468404091,0.006177294929582684,0.40806617756196617,0.006302838238397688,0.08885013623978202,0.0013079247988190337,0.2855541544066134,0.005404910523021583,7137,5,1
base,place,4,en_us,de_de,0.7243940030825277,0.004864348221384285,0.6685777822035429,0.005867204994256971,0.2442964935641367,0.001615195904702609,0.5783942833123161,0.006034057313963319,7137,3,1
base,place,4,en_us,es_419,0.7010877891833921,0.005619767613544744,0.6278683881641604,0.006938892490676544,0.27444264166816895,0.0012693774536372286,0.6997089014861345,0.005501835081916693,6527,3,1
base,place,4,de_de,en_us,0.6639846743295019,0.00678120324509595,0.5998517777050565,0.007073073771341635,0.2707622298065984,0.001342318957935745,0.6839080459770115,0.005707973594186437,5220,3,1
base,place,4,de_de,es_419,0.5722383943618814,0.006158749632430329,0.5376651864130574,0.0065123163134377625,0.27444264166816895,0.0012693774536372286,0.6997089014861345,0.005501835081916693,6527,3,1
base,place,4,es_419,en_us,0.7768199233716475,0.0054980301404411475,0.6875508627159753,0.007930005553168503,0.2707622298065984,0.001342318957935745,0.6839080459770115,0.005707973594186437,5220,3,1
base,place,4,es_419,de_de,0.6869833263275886,0.0048419778205256525,0.6005431229870891,0.006113154113667919,0.2442964935641367,0.001615195904702609,0.5783942833123161,0.006034057313963319,7137,3,1
base,voicing,6,en_us,de_de,0.7338967565098219,0.006871051236832868,0.7178848317955024,0.007215535633755393,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
base,voicing,6,en_us,es_419,0.6249037227214378,0.00776156303318129,0.6150229923603246,0.00777406287016166,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
