model,feature,train_lang,layer,rep,fold,within,cross,gap,within_norm,cross_norm,gap_norm
xlsr53,nasal,en_us,16,1,2,0.8306217677678015,0.7639234132986193,0.0666983544691821,0.6802425753415428,0.5560188345286272,0.1242237408129155
xlsr53,nasal,en_us,16,1,3,0.8240361127616029,0.7684042789469953,0.0556318338146076,0.6657952069716775,0.5644458453588161,0.1013493616128613
xlsr53,nasal,en_us,16,1,4,0.8003785509863448,0.7587950255748979,0.0415835254114469,0.623938172766694,0.5463740510692363,0.0775641216974577
xlsr53,nasal,en_us,16,2,0,0.8240145392463274,0.7622399035259553,0.0617746357203721,0.668461125414768,0.5528527152560909,0.115608410158677
xlsr53,nasal,en_us,16,2,1,0.8294398092967818,0.7571653001689745,0.0722745091278073,0.6779201430274135,0.5433090822164148,0.1346110608109987
xlsr53,nasal,en_us,16,2,2,0.8212129665079037,0.7503856001090456,0.070827366398858,0.6610882473537943,0.530558732102445,0.1305295152513493
xlsr53,nasal,en_us,16,2,3,0.8365357168110075,0.7562336794497222,0.0803020373612852,0.6907065845054747,0.5415570149805642,0.1491495695249105
xlsr53,nasal,en_us,16,2,4,0.838535666121873,0.7619425366530332,0.0765931294688397,0.693809099939368,0.552293467544756,0.141515632394612
xlsr53,nasal,de_de,16,0,0,0.8140126466398954,0.7468557898554039,0.0671568567844914,0.6545477012889394,0.5200256427986226,0.1345220584903167
xlsr53,nasal,de_de,16,0,1,0.8066379301401554,0.738524522561075,0.0681134075790803,0.639486269749878,0.5042291343104994,0.1352571354393785
xlsr53,nasal,de_de,16,0,2,0.7969919735436977,0.7481461836445762,0.0488457898991214,0.6227331289400254,0.5224722953574185,0.1002608335826069
xlsr53,nasal,de_de,16,0,3,0.8247928632530857,0.7389649004829919,0.0858279627700937,0.6749925455212026,0.5050641133521966,0.169928432169006
xlsr53,nasal,de_de,16,0,4,0.8033483732719384,0.7404238303753103,0.062924542896628,0.6327207507111192,0.5078303189741519,0.1248904317369673
xlsr53,nasal,de_de,16,1,0,0.8239391805777132,0.739926663634431,0.0840125169432821,0.6719458828352689,0.5068876654299956,0.1650582174052732
xlsr53,nasal,de_de,16,1,1,0.8226559687398087,0.7490132673289853,0.0736427014108234,0.6698956854027048,0.5241163303279451,0.1457793550747597
xlsr53,nasal,de_de,16,1,2,0.8197204968944098,0.7550498204850412,0.0646706764093686,0.6656832298136645,0.535561943558186,0.1301212862554784
xlsr53,nasal,de_de,16,1,3,0.8043477556982221,0.7472195737665762,0.0571281819316459,0.6372827696121195,0.5207153956822671,0.1165673739298523
xlsr53,nasal,de_de,16,1,4,0.8180130357958488,0.7325339590984097,0.0854790766974391,0.6598335236230218,0.4928707198888364,0.1669628037341853
xlsr53,nasal,de_de,16,2,0,0.8263184036768942,0.7403493377162924,0.0859690659606018,0.676891593872726,0.5076890770863445,0.1692025167863815
xlsr53,nasal,de_de,16,2,1,0.8103175050075213,0.7270130394363233,0.0833044655711979,0.6470550718175664,0.4824027741101962,0.1646522977073701
xlsr53,nasal,de_de,16,2,2,0.8130345471521943,0.7444148631918465,0.0686196839603477,0.6514659197012139,0.5153975211218619,0.136068398579352
xlsr53,nasal,de_de,16,2,3,0.80457827075695,0.7387476049563058,0.0658306658006442,0.6373423678470322,0.5046521099305724,0.1326902579164598
xlsr53,nasal,de_de,16,2,4,0.7945864219068575,0.7531160562356046,0.0414703656712528,0.6175390625927167,0.5318954277327909,0.0856436348599258
xlsr53,nasal,es_419,16,0,0,0.7355389544275148,0.7502204774775406,-0.0146815230500257,0.4970470295625482,0.5314756375993304,-0.0344286080367821
xlsr53,nasal,es_419,16,0,1,0.7187989045383412,0.7616804158366499,-0.0428815112983087,0.4646175665101721,0.5529716363850989,-0.0883540698749268
xlsr53,nasal,es_419,16,0,2,0.7484564313208815,0.7299863291567117,0.0184701021641697,0.5208693929921552,0.4935213996177739,0.0273479933743812
xlsr53,nasal,es_419,16,0,3,0.8078083560157447,0.7381285752053404,0.0696797808104043,0.6354247644755492,0.5087942314332807,0.1266305330422684
xlsr53,nasal,es_419,16,0,4,0.8008577916070978,0.7513360518985952,0.0495217397085026,0.622067109578673,0.5335681782089717,0.0884989313697012
xlsr53,nasal,es_419,16,1,0,0.7770033808789882,0.7531776371167882,0.0238257437622,0.5772376623579202,0.537022534800925,0.0402151275569951
xlsr53,nasal,es_419,16,1,1,0.7232900562839801,0.7428616279892357,-0.0195715717052555,0.4727203710807076,0.5176722632086193,-0.0449518921279116
xlsr53,nasal,es_419,16,1,2,0.7972193135724943,0.7403846557575886,0.0568346578149057,0.6134407104815635,0.5130260783500816,0.1004146321314818
xlsr53,nasal,es_419,16,1,3,0.7640902829161993,0.7433948039903735,0.0206954789258257,0.5520860838302236,0.5186723689957459,0.0334137148344777
xlsr53,nasal,es_419,16,1,4,0.7504100801191603,0.7465964263582883,0.003813653760872,0.5259963586440224,0.5246778175746625,0.0013185410693599
xlsr53,nasal,es_419,16,2,0,0.7996466800559388,0.7489339315837158,0.0507127484722229,0.6188697247066923,0.5290623969600811,0.0898073277466112
xlsr53,nasal,es_419,16,2,1,0.7191821045810143,0.7609477472717662,-0.0417656426907518,0.4643477937511875,0.5515973320836632,-0.0872495383324757
xlsr53,nasal,es_419,16,2,2,0.6772333349387017,0.7393942877554036,-0.0621609528167018,0.3871914348247205,0.5111683938926856,-0.123976959067965
xlsr53,nasal,es_419,16,2,3,0.8070961734748467,0.751815528788295,0.0552806446865516,0.635006800466403,0.5344675577968733,0.1005392426695297
xlsr53,nasal,es_419,16,2,4,0.7973620442226121,0.7416128242328722,0.0557492199897399,0.61409919128921,0.5153298174476336,0.0987693738415763
xlsr53,place,en_us,16,0,0,0.8945056620075068,0.6977759858474812,0.1967296761600255,0.8554023468077687,0.5919368136416452,0.2634655331661235
xlsr53,place,en_us,16,0,1,0.9109964068197552,0.6916352548079188,0.2193611520118363,0.8779047061435944,0.5836455920403433,0.2942591141032511
xlsr53,place,en_us,16,0,2,0.8874493618551643,0.6868993319071642,0.200550029948,0.8456032846487418,0.5772511438868815,0.2683521407618603
xlsr53,place,en_us,16,0,3,0.9213166564209264,0.6815337755130418,0.2397828809078847,0.8922335840035964,0.5700065639189041,0.3222270200846923
xlsr53,place,en_us,16,0,4,0.8892208728293749,0.6993906255909661,0.1898302472384088,0.8479859793943534,0.594116901945994,0.2538690774483594
xlsr53,place,en_us,16,1,0,0.9124969295350418,0.6864533187526933,0.2260436107823484,0.8789093999805259,0.5766489364498534,0.3022604635306725
