model,feature,train_lang,layer,rep,fold,within,cross,gap,within_norm,cross_norm,gap_norm
base,place,es_419,6,1,2,0.7633802210016006,0.5917253092595707,0.17165491174202996,0.6738735244956615,0.4501133517317393,0.22376017276392224
base,place,es_419,6,1,3,0.7382231349739566,0.5857685946748541,0.15245454029910255,0.6391815859541811,0.4420905232489349,0.19709106270524618
base,place,es_419,6,1,4,0.6416719293326035,0.5978438950783623,0.0438280342542412,0.5034808183392065,0.4583541972319472,0.045126621107259346
base,place,es_419,6,2,0,0.7572056040198364,0.6128751409723243,0.14433046304751207,0.6634097810254875,0.47859910001770867,0.18481068100777887
base,place,es_419,6,2,1,0.6507416977701216,0.6064226480084323,0.04431904976168932,0.5204423353851406,0.46990853014071143,0.050533805244429186
base,place,es_419,6,2,2,0.6663211316879658,0.5977567373535954,0.06856439433437045,0.5411417235040007,0.4582368084487829,0.0829049150552178
base,place,es_419,6,2,3,0.8020779431750359,0.5930317424071838,0.20904620076785208,0.7269862632062426,0.45187292723573314,0.27511333597050946
base,place,es_419,6,2,4,0.7393622630753215,0.5948703122563909,0.14449195081893063,0.6408380583040951,0.4543492135079829,0.18648884479611222
base,voicing,en_us,10,0,0,0.9295360436664785,0.6964411581670253,0.23309488549945312,0.8863636363636366,0.5041598547267653,0.3822037816368713
base,voicing,en_us,10,0,1,0.9198256505085194,0.6805773731219646,0.23924827738655474,0.8755778628979,0.4782475754670682,0.39733028743083176
base,voicing,en_us,10,0,2,0.915194372345446,0.6818202460042198,0.23337412634122623,0.8670768935818784,0.4802777132379608,0.38679918034391764
base,voicing,en_us,10,0,3,0.9036033687146802,0.6687463035261232,0.23485706518855698,0.8446665682397178,0.4589224283828414,0.38574413985687633
base,voicing,en_us,10,0,4,0.9200302125059407,0.680519748851182,0.2395104636547587,0.8720254260302805,0.4781534506291173,0.39387197540116325
base,voicing,en_us,10,1,0,0.9072727526482534,0.692288628778194,0.21498412387005938,0.8549217735970189,0.4973770156469456,0.35754475795007334
base,voicing,en_us,10,1,1,0.9118958923863179,0.6565154279016304,0.25538046448468743,0.8612628915168694,0.4389442287367767,0.4223186627800927
base,voicing,en_us,10,1,2,0.9161969530549472,0.6861161852496551,0.23008076780529207,0.8642270059566483,0.4872948013474012,0.37693220460924703
base,voicing,en_us,10,1,3,0.9138326075742853,0.6765935210871482,0.2372390864871371,0.8640851237389187,0.4717402579408756,0.39234486579804306
base,voicing,en_us,10,1,4,0.9407227460506993,0.6803839064563815,0.2603388395943178,0.9051756083501462,0.4779315624694265,0.42724404588071974
base,voicing,en_us,10,2,0,0.9165825340737002,0.6750938386995764,0.24148869537412376,0.8685007571933367,0.46929064148949096,0.3992101157038458
base,voicing,en_us,10,2,1,0.9240621740813055,0.679717476778363,0.2443446973029425,0.8812426070434514,0.4768430005735919,0.40439960646985945
base,voicing,en_us,10,2,2,0.9065075837329902,0.6777481994455039,0.22875938428748632,0.8516863570788005,0.4736263367040367,0.37806002037476377
base,voicing,en_us,10,2,3,0.9163585362743848,0.6911197961673354,0.22523874010704936,0.8642101236771645,0.49546781699514986,0.3687423066820147
base,voicing,en_us,10,2,4,0.9130363729747397,0.6699303772513246,0.24310599572341507,0.8616753046645189,0.46085652222894047,0.40081878243557845
base,voicing,de_de,10,0,0,0.8179539245667686,0.6583394916790559,0.1596144328877127,0.7039200815494394,0.44287447083186104,0.26104561071757837
base,voicing,de_de,10,0,1,0.7999989606286118,0.6552787062793131,0.1447202543492987,0.6804452667026982,0.4378834295965655,0.24256183710613272
base,voicing,de_de,10,0,2,0.8027518508220834,0.6599711367543977,0.14278071406768578,0.6912127188464758,0.4455350976935422,0.24567762115293362
base,voicing,de_de,10,0,3,0.8284998288592245,0.6563170200851003,0.17218280877412417,0.7304190504131827,0.439576546343756,0.2908425040694267
base,voicing,de_de,10,0,4,0.8187555731102294,0.6679297769862057,0.1508257961240237,0.7089163779122306,0.4585127803423071,0.25040359756992353
base,voicing,de_de,10,1,0,0.7920161398625304,0.665818852662607,0.1261972871999234,0.6661111721544641,0.45507062123355196,0.21104055092091217
base,voicing,de_de,10,1,1,0.8124828940041715,0.6810732683259335,0.131409625678238,0.7011759487339204,0.47994509221162074,0.22123085652229968
base,voicing,de_de,10,1,2,0.8287892178524083,0.6492111404001595,0.17957807745224885,0.73194874060981,0.4279894097468656,0.30395933086294435
base,voicing,de_de,10,1,3,0.8055052581671902,0.6723460907830722,0.13315916738411804,0.6928644591911534,0.4657142013468691,0.22715025784428428
base,voicing,de_de,10,1,4,0.822709249850518,0.6579504046148895,0.16475884523562845,0.7130278220378333,0.4422400096306485,0.2707878124071848
base,voicing,de_de,10,2,0,0.8183276194207725,0.6654588018345879,0.15286881758618454,0.7100623632742351,0.45448350770066714,0.25557885557356796
base,voicing,de_de,10,2,1,0.8128580123467524,0.6672667167036485,0.1455912956431039,0.7008503608381879,0.457431567261505,0.24341879357668283
base,voicing,de_de,10,2,2,0.7831463247080376,0.6551159547175309,0.12803036999050665,0.6546828486375086,0.437618040276546,0.2170648083609626
base,voicing,de_de,10,2,3,0.8209692771938352,0.6645943504938158,0.1563749267000194,0.7156165826194382,0.45307389816447985,0.2625426844549583
base,voicing,de_de,10,2,4,0.811347945113758,0.6626459947548593,0.14870195035889866,0.7001328482015275,0.4498968300057735,0.25023601819575403
base,voicing,es_419,10,0,0,0.7887097656255774,0.639005882567413,0.1497038830581644,0.6440648154580405,0.425822353177869,0.21824246228017152
base,voicing,es_419,10,0,1,0.7681251434121834,0.6332046412780241,0.1349205021341593,0.618070711479703,0.41659521370014413,0.20147549777955892
base,voicing,es_419,10,0,2,0.8796450709543437,0.6572469279601643,0.22239814299417948,0.7981498379534941,0.45483556977451195,0.3433142681789822
base,voicing,es_419,10,0,3,0.893998087039694,0.6771142442447249,0.21688384279496908,0.8176470588235295,0.4864354445704503,0.3312116142530792
base,voicing,es_419,10,0,4,0.8778550251187307,0.6466366912084938,0.23121833391023694,0.798175117358004,0.4379595031681426,0.36021561418986137
base,voicing,es_419,10,1,0,0.8481880621672887,0.64250498464691,0.20568307752037873,0.747858410328581,0.4313878349986945,0.31647057532988654
base,voicing,es_419,10,1,1,0.858692606809466,0.6583021617147145,0.20039044509475157,0.7664102275829948,0.45651396730171834,0.3098962602812765
base,voicing,es_419,10,1,2,0.8871821152604642,0.6557968808159541,0.2313852344445101,0.8088065969610851,0.45252920350193904,0.3562773934591461
base,voicing,es_419,10,1,3,0.8602294470768903,0.6450125428702242,0.21521690420666606,0.7625789391562853,0.435376220987286,0.32720271816899926
base,voicing,es_419,10,1,4,0.8006703109749965,0.6506200304291793,0.15005028054581726,0.6664324639027908,0.44429518629919695,0.2221372776035938
base,voicing,es_419,10,2,0,0.8601393145723042,0.6397489775709366,0.22039033700136756,0.7649150181108942,0.4270042797519722,0.33791073835892205
base,voicing,es_419,10,2,1,0.7789190253230409,0.6374964446668252,0.1414225806562157,0.6350866832581092,0.4234215231921963,0.21166516006591296
base,voicing,es_419,10,2,2,0.8044036571585111,0.6471534136419286,0.15725024351658257,0.6677738588501181,0.4387813738207723,0.22899248502934577
base,voicing,es_419,10,2,3,0.9085335747202107,0.6661060781447317,0.24242749657547902,0.8460747202106651,0.4689264531440136,0.3771482670666515
base,voicing,es_419,10,2,4,0.8801107521919704,0.6549026571961262,0.22520809499584427,0.8002307337332717,0.4511068999546757,0.349123833778596
