model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,manner,2,de_de,0.6903826044147385,0.00539323516317225,0.6031553517830275,0.011597006781561696,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
base,manner,2,es_419,0.6687345953405899,0.04687584168472502,0.594347952178443,0.047994519475517035,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
base,place,2,en_us,0.7917591781794682,0.008504012363193418,0.7156024358257759,0.00598636256252884,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
base,place,2,de_de,0.748325215582852,0.013377063864337891,0.7166437016293983,0.0149874474742222,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
base,place,2,es_419,0.7285411249212979,0.036766569229492986,0.6469378803640187,0.041080627290544444,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
base,voicing,4,en_us,0.8484933083132498,0.010597363258837098,0.8453377138498883,0.011703149206876925,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
base,voicing,4,de_de,0.8164803624857294,0.007213035134750222,0.8097467805986207,0.00816274462772461,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
base,voicing,4,es_419,0.8136699599179213,0.03572515860298747,0.7938811782287848,0.03773062437219422,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
base,nasal,4,en_us,0.8977718636256885,0.004307781641713611,0.7767369333636209,0.014511630993185637,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,4,de_de,0.8697080533260471,0.009882108587859387,0.7783222140634116,0.007532151073170631,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
base,nasal,4,es_419,0.8481921918519838,0.03998573344124527,0.6974365870998187,0.0390073108968791,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
base,manner,4,en_us,0.7659383349759945,0.0118668543869121,0.7272332141699019,0.01030523796354824,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
base,manner,4,de_de,0.7084267122999266,0.014946583018722962,0.6256561954110745,0.014379817194053793,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
base,manner,4,es_419,0.6941254151353694,0.042180343388834945,0.605619123053927,0.03292493144202535,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
base,place,4,en_us,0.8648411252496624,0.013407458639888866,0.816021866683676,0.016914016429775185,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
base,place,4,de_de,0.7747824345422302,0.010466804016994518,0.7441019622900821,0.015184244071264176,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
base,place,4,es_419,0.7577787238739259,0.04337372004386068,0.6824161638713108,0.04834281747686071,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
base,voicing,6,en_us,0.8817771866381439,0.0034181007424028092,0.8792565176054232,0.0030202315464478123,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
base,voicing,6,de_de,0.8157839931117306,0.007639093438285348,0.8091681405886393,0.007594743166210351,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
base,voicing,6,es_419,0.8247735250164407,0.04209225615562525,0.8093731845228836,0.043009150195477706,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
base,nasal,6,en_us,0.9074708394874884,0.005772970229001022,0.7893498361415773,0.015866939763619022,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,6,de_de,0.8789502057147962,0.007556956199610146,0.7894868719422646,0.010221236657959168,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
base,nasal,6,es_419,0.824632679290195,0.045051363957306106,0.6756902592693865,0.04016539032709929,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
base,manner,6,en_us,0.7978064674276636,0.01218394263166365,0.7739080970059361,0.015453449342339923,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
base,manner,6,de_de,0.7248388229451809,0.010493692920613503,0.6332370644360761,0.010897614480480603,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
base,manner,6,es_419,0.6981698596903856,0.04968994619266936,0.5906807770308674,0.04430653108926394,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
base,place,6,en_us,0.8880389847905329,0.009301036113362896,0.8457761289765587,0.013880882331110513,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
base,place,6,de_de,0.792611053106205,0.019131710711016974,0.7624490632626203,0.021359418697071458,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
base,place,6,es_419,0.7593744621832658,0.04066984742203273,0.6861521396246106,0.04320699283967132,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
