model,feature,layer,train_lang,test_lang,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,voicing,6,en_us,de_de,0.7338967565098219,0.0068710512368328,0.7178848317955024,0.0072155356337553,0.3723297491039427,0.0028340494572456,0.5931932389218821,0.0071841084882841,4378,2,1
base,voicing,6,en_us,es_419,0.6249037227214378,0.0077615630331812,0.6150229923603246,0.0077740628701616,0.4032480465757622,0.0024389459408899,0.6757381258023106,0.006853177403797,3895,2,1
base,voicing,6,de_de,en_us,0.6948837209302325,0.0083759967929975,0.684206629610818,0.0085239350368638,0.370240187463386,0.0034718443582908,0.587906976744186,0.0087564288366202,3225,2,1
base,voicing,6,de_de,es_419,0.6048780487804878,0.0077374331328472,0.5970760343587438,0.0076579810801824,0.4032480465757622,0.0024389459408899,0.6757381258023106,0.006853177403797,3895,2,1
base,voicing,6,es_419,en_us,0.6576744186046511,0.0090046826616571,0.6148837209302326,0.0097006185307379,0.370240187463386,0.0034718443582908,0.587906976744186,0.0087564288366202,3225,2,1
base,voicing,6,es_419,de_de,0.7035175879396985,0.0068657017325443,0.67133318341995,0.0070780700612164,0.3723297491039427,0.0028340494572456,0.5931932389218821,0.0071841084882841,4378,2,1
base,nasal,6,en_us,de_de,0.8601907630522089,0.0032725665951025,0.749598437443874,0.0055024105292991,0.462565762849049,0.0010006616793049,0.8606927710843374,0.0034636290408,11952,2,1
base,nasal,6,en_us,es_419,0.904617779315116,0.0028366442194912,0.7620571470997624,0.0061048367070577,0.473981077147016,0.0007260363982629,0.9010722933241092,0.0026249259239447,11564,2,1
base,nasal,6,de_de,en_us,0.8530686744239105,0.0034841825196239,0.7269171560125105,0.0060787978753903,0.4711950292574048,0.0009290408051868,0.8910563540953684,0.003323131987555,8766,2,1
base,nasal,6,de_de,es_419,0.8582670356278105,0.0032621778823421,0.7161161152345283,0.0055425747203487,0.473981077147016,0.0007260363982629,0.9010722933241092,0.0026249259239447,11564,2,1
base,nasal,6,es_419,en_us,0.8835272644307552,0.0034829176495162,0.7018238907530547,0.0069324429178469,0.4711950292574048,0.0009290408051868,0.8910563540953684,0.003323131987555,8766,2,1
base,nasal,6,es_419,de_de,0.8765896921017403,0.0032817754964124,0.7593107647240607,0.0057122951258061,0.462565762849049,0.0010006616793049,0.8606927710843374,0.0034636290408,11952,2,1
base,manner,6,en_us,de_de,0.5956284153005464,0.0056988122155694,0.4790479910127008,0.0071271448990943,0.088850136239782,0.001307924798819,0.2855541544066134,0.0054049105230215,7137,5,1
base,manner,6,en_us,es_419,0.5578366784127471,0.0064902700166764,0.5399680887433235,0.016886142523476,0.1008707607699358,0.0013520723123553,0.3372146468515397,0.0060498913418068,6527,5,1
base,manner,6,de_de,en_us,0.5293103448275862,0.0068651230846565,0.4201040066106355,0.0054823264530588,0.0865806064244971,0.0014837986156824,0.2762452107279693,0.0060371456145077,5220,5,1
base,manner,6,de_de,es_419,0.495480312547878,0.006329956763268,0.4075592379275927,0.0125147520847717,0.0814154972544234,0.0013411511977125,0.2555538532250651,0.0052790439424224,6527,5,1
base,manner,6,es_419,en_us,0.4852490421455939,0.0074804319798242,0.4555649371109183,0.00852534040143,0.0971279373368146,0.0015872469010787,0.3206896551724137,0.0069298461966577,5220,5,1
base,manner,6,es_419,de_de,0.5352388958946336,0.0059765462019347,0.420137549244948,0.0059094146176677,0.088850136239782,0.001307924798819,0.2855541544066134,0.0054049105230215,7137,5,1
base,place,6,en_us,de_de,0.7423287095418243,0.0049048314449212,0.6726581125248535,0.0057105326429205,0.2442964935641367,0.0016151959047026,0.5783942833123161,0.0060340573139633,7137,3,1
base,place,6,en_us,es_419,0.8032786885245902,0.0046461531276578,0.7118477752523457,0.0069818901810749,0.2744426416681689,0.0012693774536372,0.6997089014861345,0.0055018350819166,6527,3,1
base,place,6,de_de,en_us,0.7057471264367816,0.006322129042462,0.6238227682253504,0.0075379574819868,0.2707622298065984,0.0013423189579357,0.6839080459770115,0.0057079735941864,5220,3,1
base,place,6,de_de,es_419,0.6466983300137888,0.0060250712690046,0.5719850007674306,0.0066887538705557,0.2744426416681689,0.0012693774536372,0.6997089014861345,0.0055018350819166,6527,3,1
base,place,6,es_419,en_us,0.7231800766283525,0.005733540775087,0.5918065361574669,0.0081382290153213,0.2707622298065984,0.0013423189579357,0.6839080459770115,0.0057079735941864,5220,3,1
base,place,6,es_419,de_de,0.6848816029143898,0.0048493874193705,0.5979359990145632,0.005563152313039,0.2442964935641367,0.0016151959047026,0.5783942833123161,0.0060340573139633,7137,3,1
base,voicing,8,en_us,de_de,0.7334399269072636,0.0065504266690447,0.7240160556141739,0.0066345316806546,0.3723297491039427,0.0028340494572456,0.5931932389218821,0.0071841084882841,4378,2,1
base,voicing,8,en_us,es_419,0.62002567394095,0.0076854288267931,0.600978041955796,0.0077690509126277,0.4032480465757622,0.0024389459408899,0.6757381258023106,0.006853177403797,3895,2,1
base,voicing,8,de_de,en_us,0.7317829457364341,0.0077027323601531,0.7168762892614198,0.0079053375985548,0.370240187463386,0.0034718443582908,0.587906976744186,0.0087564288366202,3225,2,1
base,voicing,8,de_de,es_419,0.6793324775353017,0.0074015687517433,0.6584083997104565,0.0075851808632062,0.4032480465757622,0.0024389459408899,0.6757381258023106,0.006853177403797,3895,2,1
base,voicing,8,es_419,en_us,0.666046511627907,0.0083952557848064,0.6144273705419214,0.0089364425548868,0.370240187463386,0.0034718443582908,0.587906976744186,0.0087564288366202,3225,2,1
