model,feature,train_lang,layer,rep,fold,within,cross,gap,within_norm,cross_norm,gap_norm
xlsr300m,nasal,de_de,16,2,2,0.8076724647035449,0.7142186056107566,0.09345385909278836,0.6414701239739276,0.4581438738269378,0.18332625014698978
xlsr300m,nasal,de_de,16,2,3,0.8383271644980348,0.6950136587199831,0.1433135057780517,0.6999725264242377,0.4217303132176696,0.2782422132065681
xlsr300m,nasal,de_de,16,2,4,0.8037517359315995,0.7013670780397475,0.10238465789185203,0.6346040230791433,0.43377672088503383,0.2008273021941095
xlsr300m,nasal,es_419,16,0,0,0.7099887911692803,0.7591110282765412,-0.049122237107260935,0.4484556369131202,0.5481521033176838,-0.09969646640456364
xlsr300m,nasal,es_419,16,0,1,0.6960349520934881,0.7529616595457747,-0.05692670745228656,0.4212769805292975,0.5366174145063144,-0.11534043397701688
xlsr300m,nasal,es_419,16,0,2,0.7636485258297887,0.7539457516074894,0.00970277422229926,0.5498067158662642,0.5384633268577443,0.011343389008519833
xlsr300m,nasal,es_419,16,0,3,0.8399860165834581,0.746618262278545,0.09336775430491306,0.6964637250510722,0.5247187763390656,0.17174494871200663
xlsr300m,nasal,es_419,16,0,4,0.8122387871367744,0.734338651409721,0.07790013572705345,0.6436660090340643,0.5016852754549938,0.1419807335790706
xlsr300m,nasal,es_419,16,1,0,0.7736490672407518,0.7427959356044778,0.03085313163627401,0.5708784741313219,0.5175490406066523,0.05332943352466957
xlsr300m,nasal,es_419,16,1,1,0.7541858290086213,0.7521525425718854,0.0020332864367359482,0.531593252042811,0.5350997119722127,-0.003506459929401684
xlsr300m,nasal,es_419,16,1,2,0.8103587262112186,0.7449351747420043,0.0654235514692143,0.638488273461042,0.5215617220419051,0.11692655141913688
xlsr300m,nasal,es_419,16,1,3,0.8106944760287523,0.7517253538041303,0.05896912222462203,0.6405719118199243,0.534298411917605,0.10627349990231938
xlsr300m,nasal,es_419,16,1,4,0.7254263060714674,0.7472374900053051,-0.02181118393383774,0.4785489301618335,0.5258802937962664,-0.047331363634432966
xlsr300m,nasal,es_419,16,2,0,0.7985957962373056,0.7436036426002354,0.05499215363707022,0.6168706380970531,0.5190640983718855,0.09780653972516762
xlsr300m,nasal,es_419,16,2,1,0.6915803778207361,0.7520528845389188,-0.06047250671818272,0.41169827932704267,0.5349127782480939,-0.12321449892105124
xlsr300m,nasal,es_419,16,2,2,0.7166108319695713,0.775742071557838,-0.059131239588266715,0.46195401122367485,0.5793478109190823,-0.11739379969540742
xlsr300m,nasal,es_419,16,2,3,0.8440459420685715,0.7376182512187289,0.1064276908498426,0.7049194326001731,0.5078369903511044,0.19708244224906868
xlsr300m,nasal,es_419,16,2,4,0.7931582980547878,0.7388414025730674,0.05431689548172036,0.6060936375440842,0.5101313185755465,0.09596231896853769
