model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
xlsr53,voicing,4,en_us,0.8193193676647577,0.009111447972123075,0.8159209158533665,0.010536030669698234,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr53,voicing,4,de_de,0.7823943446936291,0.010444354737136804,0.7749182626458697,0.011038073334115009,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr53,voicing,4,es_419,0.8315256386389605,0.03224807889424326,0.8081940304198121,0.03806805451015725,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr53,nasal,4,en_us,0.8827315117584185,0.005123627265624492,0.732976026998049,0.008357970382851177,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,4,de_de,0.8700676573829945,0.014318618026028658,0.7678994826259036,0.014344022107857166,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr53,nasal,4,es_419,0.8585530563430257,0.02534847481492673,0.6956109165877871,0.02602522908789643,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr53,manner,4,en_us,0.7224656696853142,0.011933892875375439,0.6822220418582127,0.00717669044544578,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr53,manner,4,de_de,0.6820051549748549,0.008837361137124937,0.6166455201629379,0.02067515747798194,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr53,manner,4,es_419,0.6956021097820722,0.03857039210617192,0.6215410205007366,0.037383860829964116,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr53,place,4,en_us,0.8261493392941656,0.008486056758146973,0.7734952328434335,0.009040501033177243,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr53,place,4,de_de,0.757046323180969,0.004986488628286632,0.7174918233546315,0.006807257002136269,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr53,place,4,es_419,0.7634458276367361,0.03576384829089367,0.6797835179919163,0.0409199606325546,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
xlsr53,voicing,6,en_us,0.843399282590274,0.00664881457289943,0.8399774655817497,0.007130520001311767,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr53,voicing,6,de_de,0.8087523823211651,0.002960501741982494,0.8016285435892421,0.0028448220461141575,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr53,voicing,6,es_419,0.836650631667859,0.03172568164823031,0.8158964694030129,0.036642247562593794,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr53,nasal,6,en_us,0.8886719960007902,0.00373155876894594,0.7433554301905584,0.012120637471715616,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,6,de_de,0.883058920248707,0.0035895028425074332,0.7824450774240487,0.01154708969440342,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr53,nasal,6,es_419,0.8519830239092274,0.040527707751485696,0.696776419157082,0.04372743320996478,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr53,manner,6,en_us,0.7649716080219898,0.010434226522778936,0.7264440467398245,0.014577951021192631,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr53,manner,6,de_de,0.7055424788629605,0.010978478536987645,0.6305222387778098,0.01804528975512845,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr53,manner,6,es_419,0.7298365362149589,0.03759519404771616,0.7040126482408744,0.07595402127431385,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr53,place,6,en_us,0.8690967714169965,0.007230034925574042,0.8229430242316864,0.013216059377608634,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr53,place,6,de_de,0.7827616464066206,0.012299954926658677,0.7524478686242074,0.01182221244683883,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr53,place,6,es_419,0.7885285206510915,0.025695188137890533,0.7130388525722848,0.03095303835887734,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
xlsr53,voicing,8,en_us,0.8654692161796607,0.008983233220585234,0.862382958294698,0.010434860167579897,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr53,voicing,8,de_de,0.8282539629124637,0.0024841604074564813,0.8218136808896283,0.0034508541178619938,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr53,voicing,8,es_419,0.8416626754529988,0.033912680037865336,0.821684120765136,0.04036663437503651,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr53,nasal,8,en_us,0.9027208413048735,0.005535535653286451,0.7674059968533866,0.0085609367801949,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,8,de_de,0.8840606320841727,0.002645745980268194,0.7868867382100996,0.009598896422563527,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr53,nasal,8,es_419,0.874286755270278,0.030212709461231665,0.7195935087918558,0.03755487423053329,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr53,manner,8,en_us,0.7902760318950944,0.012898096574811137,0.7574030488773413,0.016641053043387186,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr53,manner,8,de_de,0.7300777248022031,0.010998787873894543,0.6619257344529995,0.022792546450034944,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr53,manner,8,es_419,0.7284054309994838,0.038252446031666804,0.6751169888355096,0.04285132915604252,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr53,place,8,en_us,0.8905330196413322,0.009942950859816632,0.8501295557134168,0.013757062350437254,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr53,place,8,de_de,0.8029393188910925,0.010056653563019203,0.7739365074009181,0.011537733890578711,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr53,place,8,es_419,0.7900382073646023,0.03419351318512238,0.7168144106245004,0.04251217500119016,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
xlsr53,voicing,10,en_us,0.8750207783539091,0.008274867297264342,0.8718424386351113,0.009677033491061629,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr53,voicing,10,de_de,0.8353834681917354,0.007285438757955489,0.8286555994325069,0.008542432815347304,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr53,voicing,10,es_419,0.8440876521185146,0.046565106403135804,0.8230713028234643,0.05515868507601864,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr53,nasal,10,en_us,0.9039758234730388,0.0032741510212833756,0.771981395040388,0.015847067163792392,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,10,de_de,0.8912350168462503,0.005806411117795941,0.7982895549489161,0.011023940235128307,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr53,nasal,10,es_419,0.8775741821456124,0.02451044247125493,0.7296690780700625,0.03508972585800934,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr53,manner,10,en_us,0.8106725228689351,0.01019441198919518,0.7866711013825342,0.006090420407826709,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr53,manner,10,de_de,0.7461505252232435,0.01276162598254418,0.6796885708254169,0.023077671684885108,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr53,manner,10,es_419,0.7339977348453421,0.036844443057490114,0.700805195614912,0.05945818777787825,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr53,place,10,en_us,0.8939564950216848,0.009302886142308,0.8583283059686562,0.010207049226608055,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr53,place,10,de_de,0.8158959399184585,0.012041997548448605,0.7880084507440819,0.01677085077133558,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr53,place,10,es_419,0.7970179591303175,0.022321299294300226,0.7186588877913429,0.03170200178984454,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
xlsr53,voicing,12,en_us,0.8819515053179444,0.014705940466082826,0.8794626199855043,0.015135817400328636,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr53,voicing,12,de_de,0.832196067560894,0.006114203300582204,0.8257332649462729,0.007063230157779549,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr53,voicing,12,es_419,0.8442612578616611,0.03642311711970825,0.8231086116349117,0.044469132685101706,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr53,nasal,12,en_us,0.9037729072253466,0.006327430045847047,0.7724034966821299,0.013840488995555466,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,12,de_de,0.8902420673078257,0.004681502535792151,0.7976714569810233,0.0075037725817796155,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr53,nasal,12,es_419,0.8831807227271771,0.013052417477478567,0.7277168757805267,0.022279433373826266,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr53,manner,12,en_us,0.8080581817987154,0.00579748140949396,0.7783037843082246,0.02077036254533653,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr53,manner,12,de_de,0.7468619456195255,0.011918532838711892,0.6648522118627185,0.016239042486229937,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr53,manner,12,es_419,0.7267840523928051,0.03273827250763077,0.6569761164166905,0.06500001711163933,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr53,place,12,en_us,0.892557749382344,0.0024220163911216194,0.8575678601532097,0.0018291913906378324,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr53,place,12,de_de,0.812464767549384,0.0032019801241709293,0.7861800022440154,0.005634619350923291,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr53,place,12,es_419,0.7943019129915336,0.031002255399616457,0.7169296102784624,0.04140383230123688,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
xlsr53,voicing,14,en_us,0.9181671079608881,0.014377045901174097,0.916405405624878,0.015366525435189385,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr53,voicing,14,de_de,0.8593564371845928,0.008625171093453033,0.853371686710972,0.00897531963917888,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr53,voicing,14,es_419,0.8394383504108521,0.03991608150141586,0.8195619433432381,0.045925013152057347,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr53,nasal,14,en_us,0.9141721687312124,0.00682565939878394,0.7990770630192564,0.015580043338039888,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,14,de_de,0.8911189785058292,0.0036326043595852004,0.7999527890967324,0.01001588022785176,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
