model,feature,layer,train_lang,test_lang,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
xlsr53,voicing,6,de_de,es_419,0.6998716302952503,0.007883018323090466,0.6897357341113968,0.007976060645722354,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
xlsr53,voicing,6,es_419,en_us,0.7032558139534884,0.00876168681362001,0.6716893823548966,0.009231575961391186,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
xlsr53,voicing,6,es_419,de_de,0.739835541343079,0.006623931175531615,0.7117305013615582,0.006975698828454337,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
xlsr53,nasal,6,en_us,de_de,0.8452978580990629,0.003692849260660175,0.7141893113278688,0.0059286839416459545,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
xlsr53,nasal,6,en_us,es_419,0.8663092355586303,0.0032782453635052584,0.6959520923214653,0.006627759640532185,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
xlsr53,nasal,6,de_de,en_us,0.8799908738307095,0.0034289911276719617,0.7455370491230058,0.006600701097646037,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
xlsr53,nasal,6,de_de,es_419,0.8659633344863369,0.0031291823156427722,0.7186271872551908,0.0059133097626758065,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
xlsr53,nasal,6,es_419,en_us,0.8850102669404517,0.003384710088531279,0.7222972585642837,0.007371295422595466,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
xlsr53,nasal,6,es_419,de_de,0.8780957161981259,0.0031764813324008556,0.7368095384805817,0.0058695095042746665,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
xlsr53,manner,6,en_us,de_de,0.551352108729158,0.006147922235988079,0.44686973684635534,0.008088948628492552,0.08885013623978202,0.0013079247988190337,0.2855541544066134,0.005404910523021583,7137,5,1
xlsr53,manner,6,en_us,es_419,0.4873601961084725,0.006420750398908016,0.45764366804592826,0.017757557360839542,0.10087076076993584,0.0013520723123553098,0.33721464685153973,0.006049891341806822,6527,5,1
xlsr53,manner,6,de_de,en_us,0.5411877394636015,0.0067041039382786565,0.43847806426599323,0.007233780549912108,0.08658060642449715,0.001483798615682467,0.27624521072796937,0.006037145614507709,5220,5,1
xlsr53,manner,6,de_de,es_419,0.4928757468975027,0.006345972754952088,0.4150242419767041,0.013180005084361809,0.08141549725442343,0.0013411511977125601,0.25555385322506513,0.005279043942422431,6527,5,1
xlsr53,manner,6,es_419,en_us,0.5266283524904215,0.006622685715761551,0.5024600702906549,0.009302774034107565,0.09712793733681462,0.001587246901078722,0.32068965517241377,0.0069298461966577525,5220,5,1
xlsr53,manner,6,es_419,de_de,0.5014712063892391,0.005466959223216502,0.40777009653091545,0.006675317321358342,0.08885013623978202,0.0013079247988190337,0.2855541544066134,0.005404910523021583,7137,5,1
xlsr53,place,6,en_us,de_de,0.7412077903881182,0.0051928385076031236,0.6763992854462181,0.006284723603047954,0.2442964935641367,0.001615195904702609,0.5783942833123161,0.006034057313963319,7137,3,1
xlsr53,place,6,en_us,es_419,0.8006741228742148,0.004926545027564954,0.6835296947127496,0.007768404646107662,0.27444264166816895,0.0012693774536372286,0.6997089014861345,0.005501835081916693,6527,3,1
xlsr53,place,6,de_de,en_us,0.6019157088122605,0.006919957886352837,0.5606923484300537,0.007313390988026515,0.2707622298065984,0.001342318957935745,0.6839080459770115,0.005707973594186437,5220,3,1
xlsr53,place,6,de_de,es_419,0.5651907461314539,0.006116933523662608,0.5272352797661176,0.006549004388010594,0.27444264166816895,0.0012693774536372286,0.6997089014861345,0.005501835081916693,6527,3,1
xlsr53,place,6,es_419,en_us,0.7475095785440613,0.006411157532507059,0.6723583061809798,0.00862980095653314,0.2707622298065984,0.001342318957935745,0.6839080459770115,0.005707973594186437,5220,3,1
xlsr53,place,6,es_419,de_de,0.6868432114333753,0.005079023590483118,0.6165974296807989,0.00599133213839859,0.2442964935641367,0.001615195904702609,0.5783942833123161,0.006034057313963319,7137,3,1
xlsr53,voicing,8,en_us,de_de,0.7222476016445866,0.006701336719400527,0.70056875449964,0.007046862688380049,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
xlsr53,voicing,8,en_us,es_419,0.6816431322207959,0.0069654475873781345,0.6591296620007137,0.007272930279370698,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
xlsr53,voicing,8,de_de,en_us,0.7010852713178295,0.008436866711561785,0.684425101283616,0.008763221133206473,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
