model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,place,12,de_de,0.7026227876994644,0.0172134170039039,0.6589924154664738,0.010963060052572,0.2447730915658932,0.0017257705833894,0.5802037676173076,0.0064610685407107,7137,3,5
base,place,12,es_419,0.7293588393859822,0.0701097847403134,0.6508234401609039,0.063020983010531,0.2744490324222233,0.0017620701607989,0.6997710708561967,0.0076736859779251,6527,3,5
xlsr53,voicing,0,en_us,0.779511963564844,0.0065406123045979,0.7749720947823311,0.0053512178995445,0.3635478122434126,0.0065156472513934,0.5713758230838103,0.0162048585431784,3225,2,5
xlsr53,voicing,0,de_de,0.7962422284315112,0.0138827041200139,0.7886913809683466,0.0145625010327505,0.3777473386959393,0.0023806385764874,0.6070878683327399,0.0061761042622737,4378,2,5
xlsr53,voicing,0,es_419,0.7996871364369603,0.0301325587574853,0.7765437843137725,0.033278471926449,0.4020137145795053,0.0102300852890658,0.672765813488936,0.028450638772566,3895,2,5
xlsr53,nasal,0,en_us,0.8462443128189937,0.0079020247804812,0.7046134115724048,0.0111935498448882,0.4708542834800743,0.000998723438648,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,0,de_de,0.8476437367073135,0.0080118110022288,0.74448587252323,0.0073268491057823,0.4631361452178664,0.002013484514065,0.8626957651200764,0.0069674358671549,11952,2,5
xlsr53,nasal,0,es_419,0.8301700603313986,0.0187883697859329,0.6769203595647786,0.0198666167598735,0.4732518176840951,0.0009884608688558,0.8984470179298196,0.0035569652039121,11564,2,5
xlsr53,manner,0,en_us,0.6126683185661929,0.0089953075500425,0.5445690598753712,0.0147815995034787,0.0967739300855188,0.0019868885261517,0.3192048040209283,0.0087012505226066,5220,5,5
xlsr53,manner,0,de_de,0.660152825478568,0.0191230555391445,0.5817637144158485,0.0111589835626529,0.0964573612325561,0.0025802959505719,0.3178662146015167,0.0110796054927506,7137,5,5
xlsr53,manner,0,es_419,0.6339486005833759,0.0393660246117002,0.5340676639195439,0.0203987749007979,0.0993967967884852,0.0015992278675927,0.3306956045218964,0.0071042750691257,6527,5,5
xlsr53,place,0,en_us,0.6734141189163104,0.0132100642248632,0.5777550230095544,0.0222136530246824,0.2695526351283239,0.0026746492934694,0.6788552512228371,0.0113326899587328,5220,3,5
xlsr53,place,0,de_de,0.6896834327564803,0.0131993490424139,0.6496642345739253,0.0133329052311833,0.2447730915658932,0.0017257705833894,0.5802037676173076,0.0064610685407107,7137,3,5
xlsr53,place,0,es_419,0.6703140463347901,0.0315156851067637,0.5816293242516336,0.0319795405929895,0.2744490324222233,0.0017620701607989,0.6997710708561967,0.0076736859779251,6527,3,5
xlsr53,voicing,2,en_us,0.7668825063929079,0.007657405512856,0.7614159704522511,0.0091961545062945,0.3635478122434126,0.0065156472513934,0.5713758230838103,0.0162048585431784,3225,2,5
xlsr53,voicing,2,de_de,0.7756365419229831,0.023149751452634,0.7675695136583861,0.0218375078992057,0.3777473386959393,0.0023806385764874,0.6070878683327399,0.0061761042622737,4378,2,5
xlsr53,voicing,2,es_419,0.8158488305620514,0.0335402676500718,0.7896096445828084,0.0440826408668745,0.4020137145795053,0.0102300852890658,0.672765813488936,0.028450638772566,3895,2,5
xlsr53,nasal,2,en_us,0.8650855953018681,0.0084533065836884,0.7169903500232302,0.014730235113386,0.4708542834800743,0.000998723438648,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,2,de_de,0.8645278652546209,0.0075753432384922,0.7630383134732245,0.0053630675693415,0.4631361452178664,0.002013484514065,0.8626957651200764,0.0069674358671549,11952,2,5
xlsr53,nasal,2,es_419,0.8521725925765093,0.0189859897373029,0.6933623284863909,0.0229575014223897,0.4732518176840951,0.0009884608688558,0.8984470179298196,0.0035569652039121,11564,2,5
xlsr53,manner,2,en_us,0.6407187433805673,0.0109912520029982,0.5825168960698277,0.021558962341695,0.0967739300855188,0.0019868885261517,0.3192048040209283,0.0087012505226066,5220,5,5
xlsr53,manner,2,de_de,0.6539364461857711,0.0143352804756071,0.579528925449376,0.0103968847724572,0.0964573612325561,0.0025802959505719,0.3178662146015167,0.0110796054927506,7137,5,5
xlsr53,manner,2,es_419,0.6494542362003586,0.0401020704884148,0.5817145019495815,0.044183827299248,0.0993967967884852,0.0015992278675927,0.3306956045218964,0.0071042750691257,6527,5,5
xlsr53,place,2,en_us,0.7392609273968683,0.0115533243504225,0.6540551917611351,0.0134302685505552,0.2695526351283239,0.0026746492934694,0.6788552512228371,0.0113326899587328,5220,3,5
xlsr53,place,2,de_de,0.7066726781456979,0.0156476243106063,0.6658864743276575,0.0154869006310334,0.2447730915658932,0.0017257705833894,0.5802037676173076,0.0064610685407107,7137,3,5
xlsr53,place,2,es_419,0.7092687301992147,0.0381213522572322,0.6177425972522392,0.0403217404415306,0.2744490324222233,0.0017620701607989,0.6997710708561967,0.0076736859779251,6527,3,5
xlsr53,voicing,4,en_us,0.8193193676647577,0.009111447972123,0.8159209158533665,0.0105360306696982,0.3635478122434126,0.0065156472513934,0.5713758230838103,0.0162048585431784,3225,2,5
